Order,Description,Sector,Subsector,Stage,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
1718,,,,,29144040,"Aromatic ketone-alcohols and ketone-aldehydes, nesoi",Public Health,Pharmaceuticals & API,Input
1719,,,,,29144060,"1,3-Dihydroxyacetone",Public Health,Pharmaceuticals & API,Input
1720,,,,,29144090,"Nonaromatic ketone-alcohols and ketone-aldehydes, nesoi",Public Health,Pharmaceuticals & API,Input
1721,,,,,29145010,5-Benzoyl-4-hydroxy-2-methoxy-benzenesulfonic acid,Public Health,Pharmaceuticals & API,Input
1722,,,,,29145030,Aromatic ketone-phenols and ketones with other oxygen function,Public Health,Pharmaceuticals & API,Input
1723,,,,,29145050,Nonaromatic ketone-phenols and ketones with other oxygen function,Public Health,Pharmaceuticals & API,Input
1724,,,,,29146200,Coenzyme Q10 (ubidecarenone (INN),Public Health,Pharmaceuticals & API,Input
1725,,,,,29147100,"Halogenated, sulfonated, nitrated or nitrosated derivatives: chlordecone (ISO)",Public Health,Pharmaceuticals & API,Input
1726,,,,,29147910,"2,3-dichloro-1,4-naphthoquinone and other artificial musks",Public Health,Pharmaceuticals & API,Input
1727,,,,,29147930,"Anthraquinone disulfonic acid, sodium salt; and 4-(3,4-Dichlorophenyl)-1-tetralone",Public Health,Pharmaceuticals & API,Input
1728,,,,,29147940,"Other halogenated, sulfonated, nitrated, etc derivatives of aromatic ketones and quinones whether or not with other oxygen function",Public Health,Pharmaceuticals & API,Input
1729,,,,,29147960,1-Chloro-5-hexanone,Public Health,Pharmaceuticals & API,Input
1730,,,,,29147990,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of nonaromatic ketones and quinones whether or not with other ogygen function",Public Health,Pharmaceuticals & API,Input
1731,,,,,29152950,Other salts of acetic acid,Public Health,Pharmaceuticals & API,Input
1732,,,,,29153600,Dinoseb (ISO) acetate,Public Health,Pharmaceuticals & API,Input
1733,,,,,29153910,Benzyl acetate,Public Health,Pharmaceuticals & API,Input
1734,,,,,29153920,"Odoriferous or flavoring compounds of aromatic esters of acetic acid, other than benzyl acetate",Public Health,Pharmaceuticals & API,Input
1735,,,,,29153931,Aromatic esters of acetic acid described in additional U.S. note 3 to section VI,Public Health,Pharmaceuticals & API,Input
1736,,,,,29153935,"Aromatic esters of acetic acid, nesoi",Public Health,Pharmaceuticals & API,Input
1737,,,,,29153940,Linalyl acetate,Public Health,Pharmaceuticals & API,Input
1738,,,,,29153945,"Odoriferous or flavoring compounds of nonaromatic esters of acetic acid, nesoi",Public Health,Pharmaceuticals & API,Input
1739,,,,,29153947,Acetates of polyhydric alcohols or of polyhydric alcohol ethers,Public Health,Pharmaceuticals & API,Input
1740,,,,,29153960,Bis(bromoacetoxy)butene,Public Health,Pharmaceuticals & API,Input
1741,,,,,29153970,Isobutyl acetate,Public Health,Pharmaceuticals & API,Input
1742,,,,,29153980,"2-Ethoxyethyl acetate (Ethylene glycol, monoethyl ether acetate)",Public Health,Pharmaceuticals & API,Input
1743,,,,,29153990,Other non-aromatic esters of acetic acid,Public Health,Pharmaceuticals & API,Input
1744,,,,,29154050,"Nonaromatic salts and esters of chlorocetic acids, nesoi",Public Health,Pharmaceuticals & API,Input
1745,,,,,29155010,Propionic acid,Public Health,Pharmaceuticals & API,Input
1746,,,,,29155020,Aromatic salts and esters of propionic acid,Public Health,Pharmaceuticals & API,Input
1747,,,,,29155050,Nonaromatic salts and esters of propionic acid,Public Health,Pharmaceuticals & API,Input
1748,,,,,29156010,Aromatic salts and esters of butyric acids and valeric acids,Public Health,Pharmaceuticals & API,Input
1749,,,,,29156050,"Butyric acids, valeric acids, their nonaromatic salts and esters",Public Health,Pharmaceuticals & API,Input
1750,,,,,29159010,"Fatty acids of animal or vegetable origin, nesoi",Public Health,Pharmaceuticals & API,Input
1751,,,,,29159014,Valproic acid,Public Health,Pharmaceuticals & API,Input
1752,,,,,29159018,"Saturated acyclic monocarboxylic acids, nesoi",Public Health,Pharmaceuticals & API,Input
1753,,,,,29159020,"Aromatic anhydrides, halides, peroxides and peroxyacids, of saturated acyclic monocarboxylic acids, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1754,,,,,29159050,"Nonaromatic anhydrides, halides, peroxides and peroxyacids, of saturated acyclic monocarboxylic acids, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1755,,,,,29161600,Binapacryl (ISO),Public Health,Pharmaceuticals & API,Input
1756,,,,,29161910,Potassium sorbate,Public Health,Pharmaceuticals & API,Input
1757,,,,,29161920,Sorbic acid,Public Health,Pharmaceuticals & API,Input
1758,,,,,29161930,"Unsaturated acyclic monocarboxylic acids, nesoi",Public Health,Pharmaceuticals & API,Input
1759,,,,,29161950,"Unsaturated acyclic monocarboxylic acid anhydrides, halides, peroxides, peroxyacids and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1760,,,,,29162010,Tefluthrin,Public Health,Pharmaceuticals & API,Input
1761,,,,,29162050,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",Public Health,Pharmaceuticals & API,Input
1762,,,,,29163130,"Benzoic acid esters, except odoriferous or flavoring compounds, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1763,,,,,29163150,"Benzoic acid esters, nesoi",Public Health,Pharmaceuticals & API,Input
1764,,,,,29163903,Benzoic anhydride; tert-butyl peroxybenzoate; p-nitrobenzoyl chloride; 2-nitro-m-toluic acid; and 3-nitro-o-toluic acid,Public Health,Pharmaceuticals & API,Input
1765,,,,,29163904,Specified derivatives of benzoic and toluic acids,Public Health,Pharmaceuticals & API,Input
1766,,,,,29163906,Cinnamic acid,Public Health,Pharmaceuticals & API,Input
1767,,,,,29163908,4-Chloro-3-nitrobenzoic acid,Public Health,Pharmaceuticals & API,Input
1768,,,,,29163912,"4-Chloro-3,5-dinitrobenzoic acid and its esters",Public Health,Pharmaceuticals & API,Input
1769,,,,,29163915,Ibuprofen,Public Health,Pharmaceuticals & API,Input
1770,,,,,29163916,4-Chlorobenzoic acid,Public Health,Pharmaceuticals & API,Input
1771,,,,,29163917,"2,2-Dichlorophenylacetic acid ethyl ester and m-toluic acid",Public Health,Pharmaceuticals & API,Input
1772,,,,,29163921,"Odoriferous or flavoring compounds of aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives",Public Health,Pharmaceuticals & API,Input
1773,,,,,29163946,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives described in add'l US note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1774,,,,,29163977,"Phenylacetic acid esters, nesoi",Public Health,Pharmaceuticals & API,Input
1775,,,,,29163979,"Other aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",Public Health,Pharmaceuticals & API,Input
1776,,,,,29171300,"Azelaic acid, sebacic acid, their salts and esters",Public Health,Pharmaceuticals & API,Input
1777,,,,,29171910,Ferrous fumarate,Public Health,Pharmaceuticals & API,Input
1778,,,,,29171915,"Fumaric acid, derived in whole or in part from aromatic hydrocarbons",Public Health,Pharmaceuticals & API,Input
1779,,,,,29171917,Fumaric acid except derived in whole or in part from aromatic hydrocarbons,Public Health,Pharmaceuticals & API,Input
1780,,,,,29171920,"Specified acyclic polycarboxylic acids and their derivatives, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1781,,,,,29171923,Maleic acid,Public Health,Pharmaceuticals & API,Input
1782,,,,,29171927,"Succinic acid, glutaric acid, and their derivatives, and derivatives of adipic, fumeric and maleic acids, nesoi",Public Health,Pharmaceuticals & API,Input
1783,,,,,29171930,Ethylene brassylate,Public Health,Pharmaceuticals & API,Input
1784,,,,,29171935,Malonic acid,Public Health,Pharmaceuticals & API,Input
1785,,,,,29171940,"Acyclic polycarboxylic acids, derived from aromatic hydrocarbons, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1786,,,,,29171970,Acyclic polycarboxylic acids and derivative (excluding plasticizers),Public Health,Pharmaceuticals & API,Input
1787,,,,,29172000,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",Public Health,Pharmaceuticals & API,Input
1788,,,,,29173401,"Esters of orthophthalic acid, nesoi",Public Health,Pharmaceuticals & API,Input
1789,,,,,29173904,"1,2,4-Benzenetricarboxylic acid,1,2-dianhydride(trimellitic anhydride);naphthalic anhydride;phthalic acid;& 4-sulfo-1,8-naphthalic anhydride",Public Health,Pharmaceuticals & API,Input
1790,,,,,29173908,Naphthalic anhydride,Public Health,Pharmaceuticals & API,Input
1791,,,,,29173912,"4,4'-(Hexafluoroisopropyl-indene)bis(phthalic anhydride)",Public Health,Pharmaceuticals & API,Input
1792,,,,,29173915,Isophthalic acid,Public Health,Pharmaceuticals & API,Input
1793,,,,,29173917,Tetrabromophthalic anhydride,Public Health,Pharmaceuticals & API,Input
1794,,,,,29173920,"Plasticizers of aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",Public Health,Pharmaceuticals & API,Input
1795,,,,,29173930,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives nesoi, in add. U.S. note 3 to sec. VI",Public Health,Pharmaceuticals & API,Input
1796,,,,,29173970,Other aromatic polycarboxylic acids and their derivatives (excluding those described in additional US note 3 to section VI,Public Health,Pharmaceuticals & API,Input
1797,,,,,29181151,Salts and esters of lactic acid,Public Health,Pharmaceuticals & API,Input
1798,,,,,29181350,"Salts and esters of tartaric acid, nesoi",Public Health,Pharmaceuticals & API,Input
1799,,,,,29181610,Gluconic acid,Public Health,Pharmaceuticals & API,Input
1800,,,,,29181650,Salts and esters of gluconic acid,Public Health,Pharmaceuticals & API,Input
1801,,,,,29181700,"2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",Public Health,Pharmaceuticals & API,Input
1802,,,,,29181800,Chlorobenzilate (ISO),Public Health,Pharmaceuticals & API,Input
1803,,,,,29181911,"Benzilic acid, methyl ester",Public Health,Pharmaceuticals & API,Input
1804,,,,,29181912,Phenylglycolic acid (Mandelic acid),Public Health,Pharmaceuticals & API,Input
1805,,,,,29181915,Phenylglycolic (Mandelic) acid salts and esters,Public Health,Pharmaceuticals & API,Input
1806,,,,,29181920,"Aromatic carboxylic acids with alcohol function, w/o other oxygen functions, and their derivatives, described in add. U.S. note 3 to sec. VI",Public Health,Pharmaceuticals & API,Input
1807,,,,,29181931,"Aromatic carboxylic acids with alcohol function, without other oxygen functions, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1808,,,,,29181960,Malic acid,Public Health,Pharmaceuticals & API,Input
1809,,,,,29181990,"Nonaromatic carboxylic acids with alcohol function, without other oxygen function, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1810,,,,,29182110,"Salicylic acid and its salts, suitable for medicinal use",Public Health,Pharmaceuticals & API,Input
1811,,,,,29182904,"2,3-Cresotic acid; m-hydroxybenzoic acid;2-hydroxybenzoic acid, calcium salt; and other specified carboxylic acids w/phenol function",Public Health,Pharmaceuticals & API,Input
1812,,,,,29182906,"1,6-hexanediol-bis(3,5-dibutyl-4-hydroxyphenyl)propionate",Public Health,Pharmaceuticals & API,Input
1813,,,,,29182908,m-Hydroxybenzoic acid,Public Health,Pharmaceuticals & API,Input
1814,,,,,29182920,Gentisic acid; and hydroxycinnamic acid and its salts,Public Health,Pharmaceuticals & API,Input
1815,,,,,29182922,p-Hydroxybenzoic acid,Public Health,Pharmaceuticals & API,Input
1816,,,,,29182925,3-Hydroxy-2-naphthoic acid,Public Health,Pharmaceuticals & API,Input
1817,,,,,29182930,Gallic acid,Public Health,Pharmaceuticals & API,Input
1818,,,,,29182939,"4,4-Bis(4-hydroxyphenyl)-pentanoic acid; and 3,5,6-triclorosalicylic acid",Public Health,Pharmaceuticals & API,Input
1819,,,,,29182965,"Carboxylic acids with phenol function but w/o other oxygen function, described in add'l. U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1820,,,,,29182975,Other carboxylic acids w/phenol function but w/o other oxygen function & their derivatives (excluding goods of add. US note 3 to section VI),Public Health,Pharmaceuticals & API,Input
1821,,,,,29183010,"1-Formylphenylacetic acid, methyl ester",Public Health,Pharmaceuticals & API,Input
1822,,,,,29183015,"2-Chloro-4,5-difluoro-beta-oxobenzenepropanoic acid, ethyl ester; and ethyl 2-keto-4-phenylbutanoate",Public Health,Pharmaceuticals & API,Input
1823,,,,,29183025,"Aromatic carboxylic acids w/aldehyde or ketone function but w/o other oxygen function & their deriv desc. in add US note 3 to sec VI, nesoi",Public Health,Pharmaceuticals & API,Input
1824,,,,,29183030,"Aromatic carboxylic acids with aldehyde or ketone function, but without other oxygen function, and derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1825,,,,,29183070,"Dimethyl acetyl succinate; oxalacetic acid diethyl ester sodium salt; 4,4,4-trifluoro-3-oxobutanoic acid, both ethyl & methyl ester versions",Public Health,Pharmaceuticals & API,Input
1826,,,,,29183090,"Non-aromatic carboxylic acids w/aldehyde or ketone function but w/o other oxygen func. their anhydrides, halides, peroxides, etc derivatives",Public Health,Pharmaceuticals & API,Input
1827,,,,,29189100,"2, 4, 5-T (ISO) (2, 4, 5-trichlorophenoxyacetic acid), its salts and esters",Public Health,Pharmaceuticals & API,Input
1828,,,,,29189905,p-Anisic acid; clofibrate and 3-phenoxybenzoic acid,Public Health,Pharmaceuticals & API,Input
1829,,,,,29189906,1-Hydroxy-6-octadecyloxy-2-naphthalenccarboxylic acid; and 1-hydroxy-6-docosyloxy-2-naphthalene carboxylic acid,Public Health,Pharmaceuticals & API,Input
1830,,,,,29189914,2-(4-Chloro-2-methyl-phenoxy)propionic acid and its salts,Public Health,Pharmaceuticals & API,Input
1831,,,,,29189918,"4-(4-Chloro-2-methyl-phenoxy)butyric acid; p-chlorophenoxyacetic acid; and 2-(2,4-dichlorophenoxy)propionic acid",Public Health,Pharmaceuticals & API,Input
1832,,,,,29189930,"Aromatic drugs derived from carboxylic acids with additional oxygen function, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1833,,,,,29189935,"Odoriferous or flavoring compounds of carboxylic acids with additional oxygen function, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1834,,,,,29189943,"Aromatic carboxylic acids with add'l oxygen function and their anhydrides, halide, etc deriv described in add US note 3 to sect VI, nesoi",Public Health,Pharmaceuticals & API,Input
1835,,,,,29189947,"Other aromatic carboxylic acids with add'l oxygen function and their anhydrides, halide, etc deriv (exclud goods in add US note 3 to sec VI)",Public Health,Pharmaceuticals & API,Input
1836,,,,,29189950,"Nonaromatic carboxylic acids with additional oxygen function, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1837,,,,,29199030,"Aromatic phosphoric esters and their salts, including lactophosphates, and their derivatives, not used as plasticizers",Public Health,Pharmaceuticals & API,Input
1838,,,,,29199050,"Nonaromatic phosphoric esters and their salts, including lactophosphates, and their derivatives",Public Health,Pharmaceuticals & API,Input
1839,,,,,29202100,Dimethyl phosphite,Public Health,Pharmaceuticals & API,Input
1840,,,,,29202200,Diethyl phosphite,Public Health,Pharmaceuticals & API,Input
1841,,,,,29202300,Trimethyl phosphite,Public Health,Pharmaceuticals & API,Input
1842,,,,,29202400,Triethyl phosphite,Public Health,Pharmaceuticals & API,Input
1843,,,,,29202900,"Other phosphite esters and their salts; their haolgenated, sulfonated, nitrated or nitrosated derivatives",Public Health,Pharmaceuticals & API,Input
1844,,,,,29203000,Endosulfan (ISO),Public Health,Pharmaceuticals & API,Input
1845,,,,,29209020,"Aromatic esters of other inorganic acids (excluding hydrogen halides) their salts and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1846,,,,,29209051,"Nonaromatic esters of inorganic acids of nonmetals and their salts and derivatives, excluding esters of hydrogen halides, nesoi",Public Health,Pharmaceuticals & API,Input
1847,,,,,29211201,"2-(N,N-Dimethylamino)ethyl chloride hydrochloride",Public Health,Pharmaceuticals & API,Input
1848,,,,,29211300,"2-(N,N-Diethylamino)ethyl chloride hydrochloride",Public Health,Pharmaceuticals & API,Input
1849,,,,,29211400,"2-(N,N,-Diisopropylamino)ethyl chloride hydrochloride",Public Health,Pharmaceuticals & API,Input
1850,,,,,29211911,"Mono- and triethylamines; mono-, di-, and tri(propyl- and butyl-) monoamines; salts of any of the foregoing",Public Health,Pharmaceuticals & API,Input
1851,,,,,29211931,3-Amino-3-methyl-1-butyne; (Dimethylamino)isopropyl chloride hydrochloride,Public Health,Pharmaceuticals & API,Input
1852,,,,,29211961,"N,N-Dialkyl (methyl, ethyl, N-Propyl or Isopropyl)-2-Chloroethylamines and their protonated salts; Acylcic monoamines and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1853,,,,,29212900,"Acyclic polyamines, their derivatives and salts, other than ethylenediamine or hexamethylenediamine and their salts",Public Health,Pharmaceuticals & API,Input
1854,,,,,29213005,"1,3-Bis(aminoethyl)cyclohexane",Public Health,Pharmaceuticals & API,Input
1855,,,,,29213010,"Cyclanic, cyclenic, cycloterpenic mono- or polyamines, derivatives and salts, from any aromatic compound desc in add US note 3, sec. VI",Public Health,Pharmaceuticals & API,Input
1856,,,,,29213030,"Cyclanic, cyclenic, cycloterpenic mono- or polyamines and their derivative, deriv from any aromatic cmpd (excl goods in add US note 3 sec VI",Public Health,Pharmaceuticals & API,Input
1857,,,,,29213050,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives and salts, from any nonaromatic compounds",Public Health,Pharmaceuticals & API,Input
1858,,,,,29214210,"N,N-Dimethylaniline",Public Health,Pharmaceuticals & API,Input
1859,,,,,29214215,"N-Ethylaniline and N,N-diethylaniline",Public Health,Pharmaceuticals & API,Input
1860,,,,,29214216,"2,4,5-Trichloroaniline",Public Health,Pharmaceuticals & API,Input
1861,,,,,29214218,o-Aminobenzenesulfonic acid; 6-chlorometanilic acid; 2-chloro-5-nitroaniline; 4-chloro-3-nitroaniline; dichloroanilines; and other specified,Public Health,Pharmaceuticals & API,Input
1862,,,,,29214221,Metanilic acid,Public Health,Pharmaceuticals & API,Input
1863,,,,,29214222,Sulfanilic acid,Public Health,Pharmaceuticals & API,Input
1864,,,,,29214223,"3,4-Dichloroaniline",Public Health,Pharmaceuticals & API,Input
1865,,,,,29214236,"m-Chloroaniline;2-chloro-4-nitroaniline;2,5-dicholoraniline-4-sulfonic acid & its monosodium salt; & other specified aniline derivatives",Public Health,Pharmaceuticals & API,Input
1866,,,,,29214255,Fast color bases of aniline derivatives and their salts,Public Health,Pharmaceuticals & API,Input
1867,,,,,29214265,Aniline derivatives and their salts of products in additional U.S. note 3 to section VI,Public Health,Pharmaceuticals & API,Input
1868,,,,,29214290,Other aniline derivatives and their salts,Public Health,Pharmaceuticals & API,Input
1869,,,,,29214560,"Aromatic monoamines and their derivatives and salts described in additional US note 3 to section VI, nesoi",Public Health,Pharmaceuticals & API,Input
1870,,,,,29214600,"Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), and other specified INNs; salts thereof",Public Health,Pharmaceuticals & API,Input
1871,,,,,29214910,"4-Amino-2-stilbenesulfonic acid and its salts, p-ethylaniline; 2,4,6-trimethylaniline (Mesidine); and specified xylidines",Public Health,Pharmaceuticals & API,Input
1872,,,,,29214915,m-Nitro-p-toluidine,Public Health,Pharmaceuticals & API,Input
1873,,,,,29214932,Fast color bases of aromatic monamines and their derivatives,Public Health,Pharmaceuticals & API,Input
1874,,,,,29214938,"Aromatic monoamine antidepressants, tranquilizers and other psychotherapeutic agents, nesoi",Public Health,Pharmaceuticals & API,Input
1875,,,,,29214943,"Aromatic monoamine drugs, nesoi",Public Health,Pharmaceuticals & API,Input
1876,,,,,29214945,"Aromatic monoamines and their derivatives nesoi; salts thereof, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1877,,,,,29214950,"Aromatic monoamines and their derivatives and salts thereof, nesoi",Public Health,Pharmaceuticals & API,Input
1878,,,,,29215110,"4-Amino-2-(N,N-diethylamino)toluene hydrochloride; m- and o-phenylenediamine; toluene-2,4- and -2,5-diamine; and toluene-2,5-diamine sulfate",Public Health,Pharmaceuticals & API,Input
1879,,,,,29215120,"Photographic chemicals of o-, m-, p-phenylenediamine, diaminotoluenes, and their derivatives, and salts thereof",Public Health,Pharmaceuticals & API,Input
1880,,,,,29215130,"o-, m-, p-Phenylenediamine, diaminotoluenes, and their derivatives, and salts thereof, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1881,,,,,29215150,"o-, m-, p-Phenylenediamine, and diaminotoluenes and their derivatives, and salts thereof, nesoi",Public Health,Pharmaceuticals & API,Input
1882,,,,,29215904,"1,8-diaminonaphthalene (1,8-naphthalenediamino)",Public Health,Pharmaceuticals & API,Input
1883,,,,,29215908,"5-Amino-2-(p-aminoanilino)benzenesulfonic acid; 4,4-diamino-3-biphenylsulfonic acid; 3,3-dimethylbenzidine (o-tolidine); & other specified",Public Health,Pharmaceuticals & API,Input
1884,,,,,29215917,"4,4'-Benzidine-2,2'-disulfonic acid;1,4-diaminobenzene-2-sulfonic acid;4,4'-methylenebis-(2,6-diethylaniline);m-xylenediamine; and 1 other",Public Health,Pharmaceuticals & API,Input
1885,,,,,29215920,"4,4'-Diamino-2,2'-stilbenedisulfonic acid",Public Health,Pharmaceuticals & API,Input
1886,,,,,29215930,"4,4'-Methylenedianiline",Public Health,Pharmaceuticals & API,Input
1887,,,,,29215940,"Aromatic polyamines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1888,,,,,29215980,Aromatic polyamines and their derivatives; salts thereof nesoi,Public Health,Pharmaceuticals & API,Input
1889,,,,,29221100,Monoethanolamine and its salts,Public Health,Pharmaceuticals & API,Input
1890,,,,,29221400,Dextropropoxyphene (INN) and its salts,Public Health,Pharmaceuticals & API,Input
1891,,,,,29221600,Diethylammonium perfluorooctane sulfonate,Public Health,Pharmaceuticals & API,Input
1892,,,,,29221700,Methyldiethanolamine and ethyldiethanolamine,Public Health,Pharmaceuticals & API,Input
1893,,,,,29221800,"2-(N,N-Diisopropylamino)ethanol",Public Health,Pharmaceuticals & API,Input
1894,,,,,29221909,"Aromatic amino-alcohols drugs, their ethers and esters, other than those containing > one kind of oxygen function; salts thereof; nesoi",Public Health,Pharmaceuticals & API,Input
1895,,,,,29221920,"4,4'-Bis(dimethylamino)benzhydrol (Michler's hydrol) and other specified aromatic amino-alcohols, their ethers and esters; salts thereof",Public Health,Pharmaceuticals & API,Input
1896,,,,,29221933,"N1-(2-Hydroxyethyl-2-nitro-1,4-phenylendiamine; N1,N4,N4-tris(2-hydroxyethyl)-2-nitro-1,4-phenylenediamine; and other specified chemicals",Public Health,Pharmaceuticals & API,Input
1897,,,,,29221960,"Aromatic amino-alcohols, their ethers and esters, other than those containing more than one oxy func described in add. US note 3 to sect VI",Public Health,Pharmaceuticals & API,Input
1898,,,,,29221970,"Other aromatic amino-alcohols, their ethers & esters, other than those contain more than one oxy func (exc goods of add. US note 3 sect VI)",Public Health,Pharmaceuticals & API,Input
1899,,,,,29221990,Salts of triethanolamine,Public Health,Pharmaceuticals & API,Input
1900,,,,,29221996,"Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters and salts thereof, nesoi",Public Health,Pharmaceuticals & API,Input
1901,,,,,29222903,o-Anisidine; p-anisidine; and p-phenetidine,Public Health,Pharmaceuticals & API,Input
1902,,,,,29222906,m-Nitro-p-anisidine and m-nitro-o-anisidine as fast color bases,Public Health,Pharmaceuticals & API,Input
1903,,,,,29222908,"m-Nitro-p-anisidine and m-nitro-o-anisidine, nesoi",Public Health,Pharmaceuticals & API,Input
1904,,,,,29222910,"2-Amino-6-chloro-4-nitrophenol and other specified amino-naphthols and amino-phenols, their ethers and esters; salts thereof",Public Health,Pharmaceuticals & API,Input
1905,,,,,29222913,"o-Aminophenol; and 2,2-bis-[4-(4-aminophenoxy)phenyl]propane",Public Health,Pharmaceuticals & API,Input
1906,,,,,29222915,m-Diethylaminophenol; m-dimethylaminophenol; 3-ethylamino-p-cresol; and 5-methoxy-m-phenylenediamine,Public Health,Pharmaceuticals & API,Input
1907,,,,,29222920,"4-Chloro-2,5-dimethoxyaniline; and 2,4-dimethoxyaniline",Public Health,Pharmaceuticals & API,Input
1908,,,,,29222926,Amino-naphthols and other amino-phenols and their derivatives used as fast color bases,Public Health,Pharmaceuticals & API,Input
1909,,,,,29222927,"Drugs of amino-naphthols and -phenols, their ethers and esters, except those cont. more than one oxygen function; salts thereof, nesoi",Public Health,Pharmaceuticals & API,Input
1910,,,,,29222929,"Photographic chemicals of amino-naphthols and -phenols, their ethers/esters, except those cont. more than one oxygen function; salts, nesoi",Public Health,Pharmaceuticals & API,Input
1911,,,,,29222961,Amino-naphthols and other amino-phenols and their derivatives of products described in add'l U.S. note 3 to section VI,Public Health,Pharmaceuticals & API,Input
1912,,,,,29222981,"Amino-naphthols and other amino-phenols; their ethers, esters & salts (not containing more than one oxygen function) thereof nesoi",Public Health,Pharmaceuticals & API,Input
1913,,,,,29223100,"Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof",Public Health,Pharmaceuticals & API,Input
1914,,,,,29223905,"1-Amino-2,4-dibromoanthraquinone; and 2-Amino-5-chlorobenzophenone",Public Health,Pharmaceuticals & API,Input
1915,,,,,29223910,"2'-Aminoacetophenone & other specified aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function",Public Health,Pharmaceuticals & API,Input
1916,,,,,29223914,2-Aminoanthraquinone,Public Health,Pharmaceuticals & API,Input
1917,,,,,29223917,1-Aminoanthraquinone,Public Health,Pharmaceuticals & API,Input
1918,,,,,29223925,"Aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function; salts; desc in add US note 3 sec VI",Public Health,Pharmaceuticals & API,Input
1919,,,,,29223945,"Aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function; salts thereof; nesoi",Public Health,Pharmaceuticals & API,Input
1920,,,,,29223950,"Nonaromatic amino-aldehydes, -ketones and -quinones, other than those with more than one kind of oxygen function, salts thereof; nesoi",Public Health,Pharmaceuticals & API,Input
1921,,,,,29224100,Lysine and its esters and salts thereof,Public Health,Pharmaceuticals & API,Input
1922,,,,,29224250,"Glutamic acid and its salts, other than monosodium glutamate",Public Health,Pharmaceuticals & API,Input
1923,,,,,29224310,"Anthranilic acid and its salts, described in additional US note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1924,,,,,29224350,"Anthranilic acid and its salts, nesoi",Public Health,Pharmaceuticals & API,Input
1925,,,,,29224400,Tildine (INN) and its salts,Public Health,Pharmaceuticals & API,Input
1926,,,,,29224905,"(R)-alpha-Aminobenzeneacetic acid; and 2-amino-3-chlorobenzoic acid, methyl ester",Public Health,Pharmaceuticals & API,Input
1927,,,,,29224910,"m-Aminobenzoic acid, technical; and other specified aromatic amino-acids and their esters, except those with more than one oxygen function",Public Health,Pharmaceuticals & API,Input
1928,,,,,29224926,"Aromatic amino-acids drugs and their esters, not containing more than one kind of oxygen function, nesoi",Public Health,Pharmaceuticals & API,Input
1929,,,,,29224930,"Aromatic amino-acids and their esters, excl. those with more than one oxygen function; salts; described in add. U.S. note 3 to sect VI",Public Health,Pharmaceuticals & API,Input
1930,,,,,29224937,"Aromatic amino-acids and their esters, not contng more than 1 kind of oxygen function (excluding goods in add U.S. note 3 to sec VI), nesoi",Public Health,Pharmaceuticals & API,Input
1931,,,,,29224943,Glycine (aminoacetic acid),Public Health,Pharmaceuticals & API,Input
