Order,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
832,87082200,"Pts. & access. of bodies for mtr. vehicles of headings 8701 to 8705, front windshields, rear windows and other mtr. vehicle windows",Energy,Solar,Input
833,28045000,Boron; tellurium,Energy,Solar,Input
834,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Energy,Solar,Input
835,26011100,"Iron ores and concentrates (other than roasted iron pyrites), not agglomerated",Energy,Wind,Input
836,26011200,"Iron ores and concentrates (other than roasted iron pyrites), agglomerated",Energy,Wind,Input
837,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Energy,Wind,Input
838,26030000,Copper ores and concentrates,Energy,Wind,Input
839,26040000,Nickel ores and concentrates,Energy,Wind,Input
840,26050000,Cobalt ores and concentrates,Energy,Wind,Input
841,26060000,Aluminum ores and concentrates,Energy,Wind,Input
842,26080000,Zinc ores and concentrates,Energy,Wind,Input
843,26100000,Chromium ores and concentrates,Energy,Wind,Input
844,26131000,"Molybdenum ores and concentrates, roasted",Energy,Wind,Input
845,26139000,"Molybdenum ores and concentrates, not roasted",Energy,Wind,Input
846,26140060,"Titanium ores and concentrates, other than synthetic rutile",Energy,Wind,Input
847,26159060,"Niobium, tantalum or vanadium ores and concentrates, nesoi",Energy,Wind,Input
848,38160020,"Refractory cements, mortars, concretes and similar compositions, other than products of heading 3801, other than dolomite ramming mix",Energy,Wind,Input
849,38245000,Non-refractory mortars and concretes,Energy,Wind,Input
850,39073000,Epoxide resins in primary forms,Energy,Wind,Input
851,44072200,"Okoume, Obeche, Sapelli and other specified tropical woods, sawn or chipped lengthwise, sliced or peeled, over 6 mm thick",Energy,Wind,Input
852,68151100,Carbon fibers,Energy,Wind,Input
853,70191305,"Fiberglass rubber reinforcing yarn,not color,of electrically nonconduct. continuous filament 9 to 11 microns diam & impreg for adhesion to polym.",Energy,Wind,Input
854,70191324,"Fiberglass rubber reinforce yarn,color,of electrically nonconduct. continuous filament 9 to 11 microns diam & impreg for adhesion to polym.",Energy,Wind,Input
855,70191970,"Fiberglass rubber reinforce cord,of electrically nonconduct. contin. filament 9 to 11 microns diam & impreg for adhesion to polymeric comp.",Energy,Wind,Input
856,70196105,"Closed woven fiberglass tire cord fabric of rovings,n/o 30 cm wide,of elect. nonconductive cont. filament 9-11 micron diam & impreg for adhesion",Energy,Wind,Input
857,70196130,"Closed woven fiberglass tire cord fabric of roving,o/30 cm wide,n/color, of elect. nonconduct. contin. fil. 9-11 micron diam & impreg for adhesion",Energy,Wind,Input
858,70196205,"Closed nonwoven fiberglass tire cord fabric of roving,n/o 30 cm wide,of electrical nonconduct. contin. filament 9-11 micron diam & impreg for adhesion",Energy,Wind,Input
859,70196230,"Closed nonwoven fiberglass tire cord fabric of roving, not color,o/30 cm wide,of elect nonconduct. contin. fil. 9-11 micron diam & impreg for adhesion",Energy,Wind,Input
860,70196305,"Closed woven glass yarn fabric, not coated/laminated, tire cord fabric, n/o 30 cm wide",Energy,Wind,Input
861,70196330,"Closed woven glass yarn fabric, not coated/laminated, not color, tire cord fabric, o/30 cm wide",Energy,Wind,Input
862,70196370,"Closed woven glass yarn fabric, not coated/laminated, tire cord fabric, colored, o/30 cm wide",Energy,Wind,Input
863,70196405,"Closed woven glass yarn fabric, coated/laminated, tire cord fabric, n/o 30 cm wide",Energy,Wind,Input
864,70196430,"Closed woven glass yarn fabric, coated/laminated, not color, tire cord fabric, o/30 cm wide",Energy,Wind,Input
865,70196551,"Open woven glass fabrics, n/o 30 cm wide, tire cord fabric, of electrical nonconduct. contin. filament 9-11 mirco diam & impreg for adhesion",Energy,Wind,Input
866,70196630,"Open woven glass fabrics, o/ 30cm wide & less than 250 g/m2, fiberglass tire cord fabric, not colored",Energy,Wind,Input
867,70196670,"Open woven glass fabrics, o/30 cm wide & less than 250 g/m2, fiberglass tire cord fabric, colored",Energy,Wind,Input
868,70196930,"Open woven glass fabrics o/30 cm wide & 250 g/m2 or more, fiberglass tire cord fabric, not colored",Energy,Wind,Input
869,70196970,"Open woven glass fabrics o/30 cm wide & 250 g/m2 or more, fiberglass tire cord fabric, colored",Energy,Wind,Input
870,70197205,"Chemically bonded closed fabric,n/o 30cm wide,fiberglass tire cord fabric,of elect nonconduct contin filament 9-11 mircons diam & impreg for adhesion",Energy,Wind,Input
871,70197230,"Chemically bonded closed fabric, o/30 cm wide, fiberglass tire cord fabric, not colored",Energy,Wind,Input
872,70197351,"Chemically bonded open fabric, fiberglass tire cord, of electrical nonconduct. contin. filament 9-11 mircons diam & impreg for adhesion",Energy,Wind,Input
873,71101100,"Platinum, unwrought or in powder form",Energy,Wind,Input
874,71101900,"Platinum, in semimanufactured forms",Energy,Wind,Input
875,71102100,"Palladium, unwrought or in powder form",Energy,Wind,Input
876,71102900,"Palladium, in semimanufactured forms",Energy,Wind,Input
877,71103100,"Rhodium, unwrought or in powder form",Energy,Wind,Input
878,71103900,"Rhodium, in semimanufactured forms",Energy,Wind,Input
879,71104100,"Iridium, osmium and ruthenium, unwrought or in powder form",Energy,Wind,Input
880,71104900,"Iridium, osmium and ruthenium, in semimanufactured forms",Energy,Wind,Input
881,71129201,"Platinum waste and scrap, incl. metal clad w/ platinum, excluding sweepings containing other precious metals, other than goods of e-waste heading 8549",Energy,Wind,Input
882,71151000,Platinum catalysts in the form of wire cloth or grill,Energy,Wind,Input
883,72024100,Ferrochromium containing by weight more than 4 percent of carbon,Energy,Wind,Input
884,72024910,Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,Energy,Wind,Input
885,72024950,Ferrochromium containing by weight 3 percent or less of carbon,Energy,Wind,Input
886,72261110,"Alloy silicon electrical steel (grain-oriented), width 300mm+ but less th/600mm, flat-rolled products",Energy,Wind,Input
887,72261190,"Alloy silicon electrical steel (grain-oriented), width less th/300mm, flat-rolled products",Energy,Wind,Input
888,73082000,"Iron or steel, towers and lattice masts",Energy,Wind,Input
889,74032200,"Copper-tin base alloys (bronze), unwrought nesoi",Energy,Wind,Input
890,76020000,"Aluminum, waste and scrap",Energy,Wind,Input
891,76051100,"Aluminum (o/than alloy), wire, with a maximum cross-sectional dimension over 7 mm",Energy,Wind,Input
892,76051900,"Aluminum (o/than alloy), wire, with a maximum cross-sectional dimension of 7 mm or less",Energy,Wind,Input
893,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Energy,Wind,Input
894,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Energy,Wind,Input
895,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Energy,Wind,Input
896,79012000,"Zinc alloy, unwrought",Energy,Wind,Input
897,81053000,Cobalt waste and scrap,Energy,Wind,Input
898,81110030,"Manganese, waste and scrap",Energy,Wind,Input
899,85016401,"AC generators (alternators), other than photovoltaic generators, of an output exceeding 750 kVA",Energy,Wind,Input
900,85018090,"Photovoltaic AC generators, of an output exceeding 750 kVA",Energy,Wind,Input
901,85023100,Wind-powered electric generating sets,Energy,Wind,Input
902,85030020,Commutators suitable for use solely or principally with the machines of heading 8501 or 8502,Energy,Wind,Input
903,85030065,"Stators and rotors for electric motors & generators of heading 8501, nesoi",Energy,Wind,Input
904,85030095,"Other parts, nesoi, suitable for use solely or principally with the machines in heading 8501 or 8502",Energy,Wind,Input
905,85042100,Liquid dielectric transformers having a power handling capacity not exceeding 650 kVA,Energy,Wind,Input
906,85042200,"Liquid dielectric transformers having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",Energy,Wind,Input
907,85042300,"Liquid dielectric transformers having a power handling capacity exceeding 10,000 kVA",Energy,Wind,Input
908,85043200,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA",Energy,Wind,Input
909,85043300,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA",Energy,Wind,Input
910,85043400,"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 500 kVA",Energy,Wind,Input
911,85051100,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal",Energy,Wind,Input
912,85353000,"Isolating switches and make-and-break switches, for a voltage exceeding 1,000 V",Energy,Wind,Input
913,85365070,"Certain specifed electronic and electromechanical snap-action switches, for a voltage not exceeding 1,000 V",Energy,Wind,Input
914,85365090,"Switches nesoi, for switching or making connections to or in electrical circuits, for a voltage not exceeding 1,000 V",Energy,Wind,Input
915,85369085,"Other electrical apparatus nesoi, for switching or making connections to or in electrical circuits, for a voltage not exceeding 1,000 V, nesoi",Energy,Wind,Input
